,Fecha,Frecuencia,anio,mes,dia
732,01-ene,48,2018,ene,1
733,02-ene,115,2018,ene,2
734,03-ene,111,2018,ene,3
735,04-ene,165,2018,ene,4
736,05-ene,163,2018,ene,5
737,06-ene,93,2018,ene,6
738,07-ene,105,2018,ene,7
739,08-ene,120,2018,ene,8
740,09-ene,131,2018,ene,9
741,10-ene,164,2018,ene,10
742,11-ene,146,2018,ene,11
743,12-ene,156,2018,ene,12
744,13-ene,103,2018,ene,13
745,14-ene,91,2018,ene,14
746,15-ene,158,2018,ene,15
747,16-ene,147,2018,ene,16
748,17-ene,139,2018,ene,17
749,18-ene,157,2018,ene,18
750,19-ene,152,2018,ene,19
751,20-ene,117,2018,ene,20
752,21-ene,81,2018,ene,21
753,22-ene,126,2018,ene,22
754,23-ene,142,2018,ene,23
755,24-ene,118,2018,ene,24
756,25-ene,156,2018,ene,25
757,26-ene,160,2018,ene,26
758,27-ene,117,2018,ene,27
759,28-ene,82,2018,ene,28
760,29-ene,126,2018,ene,29
761,30-ene,128,2018,ene,30
762,31-ene,136,2018,ene,31
763,01-feb,153,2018,feb,1
764,02-feb,143,2018,feb,2
765,03-feb,103,2018,feb,3
766,04-feb,63,2018,feb,4
767,05-feb,90,2018,feb,5
768,06-feb,140,2018,feb,6
769,07-feb,137,2018,feb,7
770,08-feb,146,2018,feb,8
771,09-feb,147,2018,feb,9
772,10-feb,127,2018,feb,10
773,11-feb,104,2018,feb,11
774,12-feb,144,2018,feb,12
775,13-feb,129,2018,feb,13
776,14-feb,118,2018,feb,14
777,15-feb,133,2018,feb,15
778,16-feb,142,2018,feb,16
779,17-feb,118,2018,feb,17
780,18-feb,101,2018,feb,18
781,19-feb,137,2018,feb,19
782,20-feb,141,2018,feb,20
783,21-feb,147,2018,feb,21
784,22-feb,142,2018,feb,22
785,23-feb,154,2018,feb,23
786,24-feb,125,2018,feb,24
787,25-feb,111,2018,feb,25
788,26-feb,128,2018,feb,26
789,27-feb,144,2018,feb,27
790,28-feb,141,2018,feb,28
791,01-mar,158,2018,mar,1
792,02-mar,145,2018,mar,2
793,03-mar,137,2018,mar,3
794,04-mar,89,2018,mar,4
795,05-mar,125,2018,mar,5
796,06-mar,123,2018,mar,6
797,07-mar,122,2018,mar,7
798,08-mar,124,2018,mar,8
799,09-mar,128,2018,mar,9
800,10-mar,142,2018,mar,10
801,11-mar,97,2018,mar,11
802,12-mar,137,2018,mar,12
803,13-mar,138,2018,mar,13
804,14-mar,130,2018,mar,14
805,15-mar,130,2018,mar,15
806,16-mar,170,2018,mar,16
807,17-mar,165,2018,mar,17
808,18-mar,120,2018,mar,18
809,19-mar,114,2018,mar,19
810,20-mar,154,2018,mar,20
811,21-mar,140,2018,mar,21
812,22-mar,155,2018,mar,22
813,23-mar,178,2018,mar,23
814,24-mar,145,2018,mar,24
815,25-mar,104,2018,mar,25
816,26-mar,127,2018,mar,26
817,27-mar,134,2018,mar,27
818,28-mar,142,2018,mar,28
819,29-mar,89,2018,mar,29
820,30-mar,74,2018,mar,30
821,31-mar,67,2018,mar,31
822,01-abr,75,2018,abr,1
823,02-abr,113,2018,abr,2
824,03-abr,126,2018,abr,3
825,04-abr,159,2018,abr,4
826,05-abr,143,2018,abr,5
827,06-abr,141,2018,abr,6
828,07-abr,130,2018,abr,7
829,08-abr,105,2018,abr,8
830,09-abr,180,2018,abr,9
831,10-abr,123,2018,abr,10
832,11-abr,148,2018,abr,11
833,12-abr,162,2018,abr,12
834,13-abr,143,2018,abr,13
835,14-abr,121,2018,abr,14
836,15-abr,98,2018,abr,15
837,16-abr,162,2018,abr,16
838,17-abr,143,2018,abr,17
839,18-abr,146,2018,abr,18
840,19-abr,124,2018,abr,19
841,20-abr,167,2018,abr,20
842,21-abr,122,2018,abr,21
843,22-abr,86,2018,abr,22
844,23-abr,137,2018,abr,23
845,24-abr,120,2018,abr,24
846,25-abr,150,2018,abr,25
847,26-abr,139,2018,abr,26
848,27-abr,143,2018,abr,27
849,28-abr,108,2018,abr,28
850,29-abr,93,2018,abr,29
851,30-abr,136,2018,abr,30
852,01-may,103,2018,may,1
853,02-may,186,2018,may,2
854,03-may,165,2018,may,3
855,04-may,172,2018,may,4
856,05-may,136,2018,may,5
857,06-may,89,2018,may,6
858,07-may,142,2018,may,7
859,08-may,134,2018,may,8
860,09-may,154,2018,may,9
861,10-may,122,2018,may,10
862,11-may,136,2018,may,11
863,12-may,142,2018,may,12
864,13-may,101,2018,may,13
865,14-may,150,2018,may,14
866,15-may,161,2018,may,15
867,16-may,125,2018,may,16
868,17-may,139,2018,may,17
869,18-may,147,2018,may,18
870,19-may,156,2018,may,19
871,20-may,105,2018,may,20
872,21-may,144,2018,may,21
873,22-may,143,2018,may,22
874,23-may,145,2018,may,23
875,24-may,141,2018,may,24
876,25-may,164,2018,may,25
877,26-may,153,2018,may,26
878,27-may,104,2018,may,27
879,28-may,154,2018,may,28
880,29-may,138,2018,may,29
881,30-may,148,2018,may,30
882,31-may,144,2018,may,31
883,01-jun,147,2018,jun,1
884,02-jun,126,2018,jun,2
885,03-jun,81,2018,jun,3
886,04-jun,158,2018,jun,4
887,05-jun,155,2018,jun,5
888,06-jun,152,2018,jun,6
889,07-jun,162,2018,jun,7
890,08-jun,169,2018,jun,8
891,09-jun,129,2018,jun,9
892,10-jun,112,2018,jun,10
893,11-jun,165,2018,jun,11
894,12-jun,115,2018,jun,12
895,13-jun,131,2018,jun,13
896,14-jun,133,2018,jun,14
897,15-jun,148,2018,jun,15
898,16-jun,128,2018,jun,16
899,17-jun,99,2018,jun,17
900,18-jun,149,2018,jun,18
901,19-jun,150,2018,jun,19
902,20-jun,161,2018,jun,20
903,21-jun,122,2018,jun,21
904,22-jun,149,2018,jun,22
905,23-jun,138,2018,jun,23
906,24-jun,103,2018,jun,24
907,25-jun,150,2018,jun,25
908,26-jun,153,2018,jun,26
909,27-jun,145,2018,jun,27
910,28-jun,167,2018,jun,28
911,29-jun,161,2018,jun,29
912,30-jun,142,2018,jun,30
913,01-jul,72,2018,jul,1
914,02-jul,154,2018,jul,2
915,03-jul,153,2018,jul,3
916,04-jul,172,2018,jul,4
917,05-jul,170,2018,jul,5
918,06-jul,177,2018,jul,6
919,07-jul,140,2018,jul,7
920,08-jul,82,2018,jul,8
921,09-jul,151,2018,jul,9
922,10-jul,143,2018,jul,10
923,11-jul,158,2018,jul,11
924,12-jul,156,2018,jul,12
925,13-jul,177,2018,jul,13
926,14-jul,116,2018,jul,14
927,15-jul,87,2018,jul,15
928,16-jul,159,2018,jul,16
929,17-jul,150,2018,jul,17
930,18-jul,138,2018,jul,18
931,19-jul,159,2018,jul,19
932,20-jul,134,2018,jul,20
933,21-jul,148,2018,jul,21
934,22-jul,100,2018,jul,22
935,23-jul,152,2018,jul,23
936,24-jul,144,2018,jul,24
937,25-jul,172,2018,jul,25
938,26-jul,167,2018,jul,26
939,27-jul,158,2018,jul,27
940,28-jul,112,2018,jul,28
941,29-jul,93,2018,jul,29
942,30-jul,170,2018,jul,30
943,31-jul,150,2018,jul,31
944,01-ago,152,2018,ago,1
945,02-ago,139,2018,ago,2
946,03-ago,168,2018,ago,3
947,04-ago,125,2018,ago,4
948,05-ago,113,2018,ago,5
949,06-ago,146,2018,ago,6
950,07-ago,155,2018,ago,7
951,08-ago,185,2018,ago,8
952,09-ago,159,2018,ago,9
953,10-ago,163,2018,ago,10
954,11-ago,129,2018,ago,11
955,12-ago,95,2018,ago,12
956,13-ago,151,2018,ago,13
957,14-ago,164,2018,ago,14
958,15-ago,179,2018,ago,15
959,16-ago,156,2018,ago,16
960,17-ago,160,2018,ago,17
961,18-ago,139,2018,ago,18
962,19-ago,109,2018,ago,19
963,20-ago,156,2018,ago,20
964,21-ago,145,2018,ago,21
965,22-ago,165,2018,ago,22
966,23-ago,167,2018,ago,23
967,24-ago,180,2018,ago,24
968,25-ago,154,2018,ago,25
969,26-ago,105,2018,ago,26
970,27-ago,156,2018,ago,27
971,28-ago,134,2018,ago,28
972,29-ago,140,2018,ago,29
973,30-ago,130,2018,ago,30
974,31-ago,140,2018,ago,31
975,01-sep,151,2018,sep,1
976,02-sep,99,2018,sep,2
977,03-sep,152,2018,sep,3
978,04-sep,163,2018,sep,4
979,05-sep,163,2018,sep,5
980,06-sep,161,2018,sep,6
981,07-sep,155,2018,sep,7
982,08-sep,141,2018,sep,8
983,09-sep,118,2018,sep,9
984,10-sep,131,2018,sep,10
985,11-sep,144,2018,sep,11
986,12-sep,161,2018,sep,12
987,13-sep,157,2018,sep,13
988,14-sep,173,2018,sep,14
989,15-sep,146,2018,sep,15
990,16-sep,115,2018,sep,16
991,17-sep,136,2018,sep,17
992,18-sep,167,2018,sep,18
993,19-sep,152,2018,sep,19
994,20-sep,173,2018,sep,20
995,21-sep,176,2018,sep,21
996,22-sep,154,2018,sep,22
997,23-sep,100,2018,sep,23
998,24-sep,172,2018,sep,24
999,25-sep,160,2018,sep,25
1000,26-sep,175,2018,sep,26
1001,27-sep,167,2018,sep,27
1002,28-sep,152,2018,sep,28
1003,29-sep,158,2018,sep,29
1004,30-sep,116,2018,sep,30
1005,01-oct,177,2018,oct,1
1006,02-oct,165,2018,oct,2
1007,03-oct,186,2018,oct,3
1008,04-oct,162,2018,oct,4
1009,05-oct,193,2018,oct,5
1010,06-oct,149,2018,oct,6
1011,07-oct,125,2018,oct,7
1012,08-oct,190,2018,oct,8
1013,09-oct,168,2018,oct,9
1014,10-oct,184,2018,oct,10
1015,11-oct,176,2018,oct,11
1016,12-oct,188,2018,oct,12
1017,13-oct,173,2018,oct,13
1018,14-oct,111,2018,oct,14
1019,15-oct,166,2018,oct,15
1020,16-oct,172,2018,oct,16
1021,17-oct,167,2018,oct,17
1022,18-oct,178,2018,oct,18
1023,19-oct,179,2018,oct,19
1024,20-oct,161,2018,oct,20
1025,21-oct,116,2018,oct,21
1026,22-oct,173,2018,oct,22
1027,23-oct,182,2018,oct,23
1028,24-oct,151,2018,oct,24
1029,25-oct,160,2018,oct,25
1030,26-oct,191,2018,oct,26
1031,27-oct,168,2018,oct,27
1032,28-oct,131,2018,oct,28
1033,29-oct,176,2018,oct,29
1034,30-oct,188,2018,oct,30
1035,31-oct,181,2018,oct,31
1036,01-nov,148,2018,nov,1
1037,02-nov,142,2018,nov,2
1038,03-nov,127,2018,nov,3
1039,04-nov,100,2018,nov,4
1040,05-nov,183,2018,nov,5
1041,06-nov,179,2018,nov,6
1042,07-nov,192,2018,nov,7
1043,08-nov,201,2018,nov,8
1044,09-nov,203,2018,nov,9
1045,10-nov,156,2018,nov,10
1046,11-nov,115,2018,nov,11
1047,12-nov,192,2018,nov,12
