"","Fecha","Frecuencia"
"1","2016-01-01",29
"2","2016-01-02",66
"3","2016-01-03",58
"4","2016-01-04",106
"5","2016-01-05",81
"6","2016-01-06",44
"7","2016-01-07",76
"8","2016-01-08",73
"9","2016-01-09",52
"10","2016-01-10",34
"11","2016-01-11",66
"12","2016-01-12",79
"13","2016-01-13",69
"14","2016-01-14",85
"15","2016-01-15",87
"16","2016-01-16",76
"17","2016-01-17",50
"18","2016-01-18",71
"19","2016-01-19",83
"20","2016-01-20",71
"21","2016-01-21",71
"22","2016-01-22",83
"23","2016-01-23",63
"24","2016-01-24",57
"25","2016-01-25",60
"26","2016-01-26",84
"27","2016-01-27",72
"28","2016-01-28",69
"29","2016-01-29",59
"30","2016-01-30",70
"31","2016-01-31",53
"32","2016-02-01",44
"33","2016-02-02",84
"34","2016-02-03",95
"35","2016-02-04",84
"36","2016-02-05",81
"37","2016-02-06",63
"38","2016-02-07",63
"39","2016-02-08",84
"40","2016-02-09",70
"41","2016-02-10",70
"42","2016-02-11",67
"43","2016-02-12",77
"44","2016-02-13",57
"45","2016-02-14",69
"46","2016-02-15",73
"47","2016-02-16",83
"48","2016-02-17",72
"49","2016-02-18",71
"50","2016-02-19",80
"51","2016-02-20",57
"52","2016-02-21",58
"53","2016-02-22",72
"54","2016-02-23",88
"55","2016-02-24",93
"56","2016-02-25",71
"57","2016-02-26",78
"58","2016-02-27",69
"59","2016-02-28",60
"60","2016-02-29",73
"61","2016-03-01",80
"62","2016-03-02",80
"63","2016-03-03",88
"64","2016-03-04",76
"65","2016-03-05",70
"66","2016-03-06",65
"67","2016-03-07",87
"68","2016-03-08",92
"69","2016-03-09",77
"70","2016-03-10",71
"71","2016-03-11",71
"72","2016-03-12",59
"73","2016-03-13",56
"74","2016-03-14",95
"75","2016-03-15",76
"76","2016-03-16",85
"77","2016-03-17",81
"78","2016-03-18",80
"79","2016-03-19",58
"80","2016-03-20",52
"81","2016-03-21",69
"82","2016-03-22",76
"83","2016-03-23",68
"84","2016-03-24",46
"85","2016-03-25",33
"86","2016-03-26",45
"87","2016-03-27",60
"88","2016-03-28",88
"89","2016-03-29",77
"90","2016-03-30",80
"91","2016-03-31",93
"92","2016-04-01",84
"93","2016-04-02",72
"94","2016-04-03",65
"95","2016-04-04",80
"96","2016-04-05",81
"97","2016-04-06",94
"98","2016-04-07",87
"99","2016-04-08",82
"100","2016-04-09",61
"101","2016-04-10",70
"102","2016-04-11",84
"103","2016-04-12",78
"104","2016-04-13",76
"105","2016-04-14",59
"106","2016-04-15",61
"107","2016-04-16",78
"108","2016-04-17",52
"109","2016-04-18",77
"110","2016-04-19",55
"111","2016-04-20",62
"112","2016-04-21",63
"113","2016-04-22",70
"114","2016-04-23",53
"115","2016-04-24",56
"116","2016-04-25",61
"117","2016-04-26",70
"118","2016-04-27",84
"119","2016-04-28",74
"120","2016-04-29",61
"121","2016-04-30",53
"122","2016-05-01",56
"123","2016-05-02",58
"124","2016-05-03",71
"125","2016-05-04",62
"126","2016-05-05",77
"127","2016-05-06",64
"128","2016-05-07",72
"129","2016-05-08",49
"130","2016-05-09",46
"131","2016-05-10",58
"132","2016-05-11",68
"133","2016-05-12",81
"134","2016-05-13",66
"135","2016-05-14",59
"136","2016-05-15",59
"137","2016-05-16",96
"138","2016-05-17",64
"139","2016-05-18",61
"140","2016-05-19",83
"141","2016-05-20",68
"142","2016-05-21",64
"143","2016-05-22",52
"144","2016-05-23",72
"145","2016-05-24",73
"146","2016-05-25",93
"147","2016-05-26",72
"148","2016-05-27",75
"149","2016-05-28",50
"150","2016-05-29",55
"151","2016-05-30",66
"152","2016-05-31",62
"153","2016-06-01",57
"154","2016-06-02",60
"155","2016-06-03",77
"156","2016-06-04",50
"157","2016-06-05",56
"158","2016-06-06",72
"159","2016-06-07",64
"160","2016-06-08",63
